price,accommodates,neighbourhood,bedrooms,beds,bathrooms,review_scores_rating,property_type,room_type,last_scraped
200.0,2,Kips Bay,1.0,1.0,1.0,91.0,Apartment,Entire home/apt,2018-03-04
140.0,2,Williamsburg,1.0,1.0,1.0,97.0,Apartment,Entire home/apt,2018-03-04
60.0,2,Bedford-Stuyvesant,1.0,1.0,,91.0,Apartment,Private room,2018-03-04
85.0,3,Kips Bay,1.0,1.0,1.0,100.0,Apartment,Private room,2018-03-05
145.0,2,Flatbush,1.0,1.0,2.0,100.0,House,Entire home/apt,2018-03-04
135.0,2,Flatbush,1.0,1.0,2.0,97.0,House,Private room,2018-03-04
100.0,1,Lower East Side,1.0,1.0,1.0,98.0,Apartment,Private room,2018-03-05
69.0,1,Hell's Kitchen,1.0,1.0,0.5,94.0,Apartment,Private room,2018-03-04
185.0,4,Bedford-Stuyvesant,2.0,3.0,1.0,88.0,Apartment,Entire home/apt,2018-03-05
49.0,2,Williamsburg,1.0,1.0,1.5,85.0,Apartment,Private room,2018-03-04
80.0,1,Williamsburg,1.0,1.0,1.0,97.0,Apartment,Private room,2018-03-04
69.0,2,Bedford-Stuyvesant,1.0,2.0,1.0,90.0,Apartment,Private room,2018-03-05
59.0,2,Bedford-Stuyvesant,1.0,1.0,0.0,81.0,Apartment,Private room,2018-03-04
59.0,2,Bedford-Stuyvesant,1.0,1.0,,73.0,Apartment,Private room,2018-03-04
110.0,2,Upper East Side,1.0,1.0,1.0,95.0,Apartment,Entire home/apt,2018-03-05
238.0,6,Upper East Side,2.0,3.0,1.0,92.0,Apartment,Entire home/apt,2018-03-05
89.0,4,Red Hook,1.0,1.0,1.0,79.0,House,Private room,2018-03-04
98.0,3,Prospect Heights,2.0,2.0,1.0,97.0,Loft,Entire home/apt,2018-03-05
225.0,3,Upper East Side,1.0,2.0,1.0,92.0,Apartment,Entire home/apt,2018-03-04
339.0,8,Prospect Heights,4.0,4.0,2.0,99.0,Apartment,Entire home/apt,2018-03-04
55.0,2,Clinton Hill,1.0,2.0,1.0,92.0,Apartment,Private room,2018-03-05
75.0,1,Flatbush,1.0,1.0,1.0,96.0,Apartment,Private room,2018-03-04
225.0,4,Park Slope,2.0,3.0,2.0,100.0,Apartment,Entire home/apt,2018-03-05
80.0,2,Alphabet City,1.0,1.0,1.0,94.0,Apartment,Private room,2018-03-04
250.0,4,Williamsburg,1.0,3.0,1.0,92.0,Loft,Entire home/apt,2018-03-04
120.0,2,Alphabet City,1.0,1.0,1.0,92.0,Apartment,Private room,2018-03-04
79.0,1,Alphabet City,1.0,1.0,1.0,92.0,Apartment,Private room,2018-03-04
329.0,2,Kips Bay,0.0,1.0,1.0,80.0,Apartment,Entire home/apt,2018-03-05
110.0,2,Nolita,1.0,1.0,1.0,95.0,Apartment,Entire home/apt,2018-03-05
225.0,8,East Harlem,4.0,6.0,2.0,95.0,Apartment,Entire home/apt,2018-03-04
59.0,2,Bedford-Stuyvesant,1.0,2.0,1.0,90.0,Apartment,Private room,2018-03-04
210.0,2,Alphabet City,1.0,1.0,1.0,95.0,Apartment,Entire home/apt,2018-03-05
125.0,4,Bay Ridge,1.0,4.0,1.0,88.0,Apartment,Entire home/apt,2018-03-05
60.0,1,Hell's Kitchen,1.0,1.0,1.0,87.0,Apartment,Private room,2018-03-04
170.0,4,Upper West Side,2.0,2.0,1.0,90.0,Apartment,Entire home/apt,2018-03-04
69.0,2,Bedford-Stuyvesant,1.0,2.0,1.0,79.0,Apartment,Private room,2018-03-04
180.0,12,Bedford-Stuyvesant,3.0,6.0,1.0,80.0,Apartment,Entire home/apt,2018-03-04
180.0,6,Bedford-Stuyvesant,3.0,5.0,1.0,86.0,Apartment,Entire home/apt,2018-03-04
180.0,8,Bedford-Stuyvesant,3.0,5.0,1.0,81.0,Apartment,Entire home/apt,2018-03-04
75.0,1,Lower East Side,1.0,1.0,1.0,,Apartment,Shared room,2018-03-04
65.0,2,Washington Heights,1.0,1.0,1.0,94.0,Apartment,Private room,2018-03-04
105.0,2,Clinton Hill,1.0,1.0,1.0,97.0,Apartment,Private room,2018-03-05
170.0,2,East Village,1.0,1.0,1.0,96.0,Apartment,Entire home/apt,2018-03-05
240.0,2,Upper East Side,1.0,1.0,1.0,86.0,Apartment,Private room,2018-03-04
90.0,2,Woodside,1.0,1.0,1.0,98.0,Apartment,Private room,2018-03-04
70.0,2,Woodside,1.0,1.0,1.0,100.0,Apartment,Private room,2018-03-04
85.0,2,Fort Greene,1.0,1.0,2.5,97.0,Apartment,Private room,2018-03-04
119.0,3,Meatpacking District,1.0,1.0,2.5,99.0,Loft,Private room,2018-03-04
129.0,4,Williamsburg,1.0,2.0,1.0,88.0,Apartment,Private room,2018-03-04
120.0,4,Hamilton Heights,2.0,2.0,1.0,94.0,Apartment,Entire home/apt,2018-03-04
285.0,4,Lower East Side,2.0,3.0,1.0,87.0,Apartment,Entire home/apt,2018-03-04
140.0,6,Flatbush,1.0,3.0,1.0,93.0,Apartment,Entire home/apt,2018-03-04
95.0,2,Williamsburg,1.0,1.0,1.0,92.0,Apartment,Entire home/apt,2018-03-05
60.0,1,Alphabet City,1.0,1.0,0.0,92.0,Apartment,Private room,2018-03-05
50.0,2,Alphabet City,1.0,1.0,1.0,60.0,Apartment,Private room,2018-03-04
70.0,2,Prospect Heights,1.0,1.0,1.0,96.0,Apartment,Private room,2018-03-04
84.0,2,Williamsburg,1.0,1.0,1.0,94.0,Apartment,Private room,2018-03-05
60.0,1,Bushwick,1.0,1.0,,89.0,Apartment,Private room,2018-03-04
131.0,4,Prospect Heights,1.0,2.0,1.0,98.0,Townhouse,Entire home/apt,2018-03-04
250.0,4,Prospect Heights,2.0,2.0,2.5,100.0,Apartment,Entire home/apt,2018-03-05
105.0,4,Bushwick,1.0,2.0,1.0,91.0,Apartment,Entire home/apt,2018-03-04
140.0,2,Upper West Side,1.0,1.0,1.0,95.0,Apartment,Entire home/apt,2018-03-04
89.0,1,Hamilton Heights,1.0,1.0,1.0,,Apartment,Private room,2018-03-05
111.0,2,Meatpacking District,1.0,1.0,1.0,99.0,Apartment,Private room,2018-03-05
200.0,4,Park Slope,1.0,2.0,1.0,,Apartment,Entire home/apt,2018-03-04
185.0,3,Chelsea,1.0,2.0,1.0,97.0,Apartment,Entire home/apt,2018-03-04
175.0,4,Carroll Gardens,2.0,2.0,1.0,93.0,Apartment,Entire home/apt,2018-03-04
65.0,2,Washington Heights,1.0,1.0,,94.0,Apartment,Private room,2018-03-04
240.0,7,Hamilton Heights,2.0,5.0,2.0,94.0,House,Entire home/apt,2018-03-04
400.0,5,West Village,3.0,3.0,2.0,87.0,House,Entire home/apt,2018-03-04
101.0,2,Williamsburg,1.0,1.0,2.0,95.0,Apartment,Private room,2018-03-04
150.0,3,Park Slope,2.0,2.0,1.0,95.0,Apartment,Entire home/apt,2018-03-04
100.0,3,Park Slope,1.0,2.0,1.0,97.0,Apartment,Private room,2018-03-04
200.0,6,Park Slope,3.0,4.0,2.0,94.0,Apartment,Entire home/apt,2018-03-05
100.0,3,Park Slope,1.0,2.0,1.0,95.0,Apartment,Private room,2018-03-04
250.0,9,Park Slope,4.0,6.0,3.0,96.0,Apartment,Entire home/apt,2018-03-04
150.0,3,Wakefield,1.0,2.0,1.0,,House,Private room,2018-03-04
125.0,7,Bedford-Stuyvesant,2.0,4.0,1.0,93.0,Apartment,Entire home/apt,2018-03-05
139.0,4,Williamsburg,1.0,2.0,1.0,92.0,Apartment,Entire home/apt,2018-03-04
69.0,2,Harlem,1.0,1.0,1.0,95.0,Apartment,Private room,2018-03-04
200.0,5,Gowanus,3.0,3.0,1.5,98.0,House,Entire home/apt,2018-03-04
59.0,1,Hell's Kitchen,1.0,1.0,0.5,92.0,Apartment,Private room,2018-03-04
125.0,3,Clinton Hill,1.0,2.0,1.0,92.0,Townhouse,Private room,2018-03-04
200.0,2,East Village,1.0,1.0,1.0,98.0,Apartment,Entire home/apt,2018-03-04
140.0,1,East Village,1.0,1.0,1.0,97.0,Apartment,Entire home/apt,2018-03-04
135.0,4,Park Slope,1.0,1.0,1.0,98.0,Apartment,Entire home/apt,2018-03-04
90.0,2,Williamsburg,1.0,1.0,1.0,96.0,Loft,Private room,2018-03-04
199.0,2,Kips Bay,1.0,1.0,1.0,98.0,Apartment,Entire home/apt,2018-03-05
295.0,6,Williamsburg,3.0,4.0,1.5,96.0,House,Entire home/apt,2018-03-05
235.0,4,Upper West Side,2.0,2.0,1.5,92.0,Apartment,Entire home/apt,2018-03-05
125.0,4,Chelsea,1.0,3.0,1.0,88.0,Apartment,Entire home/apt,2018-03-04
225.0,4,Alphabet City,1.0,3.0,1.0,94.0,Apartment,Entire home/apt,2018-03-04
99.0,4,Park Slope,1.0,2.0,2.0,98.0,House,Private room,2018-03-04
170.0,6,Hamilton Heights,1.0,5.0,1.0,95.0,Apartment,Entire home/apt,2018-03-04
400.0,9,Park Slope,4.0,6.0,2.5,96.0,Apartment,Entire home/apt,2018-03-05
170.0,2,Upper West Side,1.0,2.0,1.0,90.0,Apartment,Entire home/apt,2018-03-04
100.0,3,Alphabet City,,2.0,1.0,97.0,Apartment,Entire home/apt,2018-03-04
149.0,3,Williamsburg,1.0,2.0,1.0,98.0,Apartment,Entire home/apt,2018-03-06
75.0,2,Lefferts Garden,1.0,1.0,1.0,80.0,Apartment,Private room,2018-03-04
125.0,3,Long Island City,1.0,1.0,1.0,98.0,Bed and breakfast,Private room,2018-03-04
